"title","name","start","end","value"
"가정","  가정폭력범죄의 처벌 등에 관한 특례법 일부개정법률안(송석준의원 등 10인)","2018-12-31","2018-12-31","2"
"가정","  남녀고용평등과 일·가정 양립 지원에 관한 법률 일부개정법률안(금태섭의원 등 18인)","2018-12-28","2018-12-28","2"
"가정","  남녀고용평등과 일·가정 양립 지원에 관한 법률 일부개정법률안(김영진의원 등 10인)","2018-12-26","2018-12-26","2"
"가정","  국가정보화 기본법 일부개정법률안(김경진의원 등 10인)","2018-12-21","2018-12-21","2"
"가정","  가정폭력범죄의 처벌 등에 관한 특례법 일부개정법률안(김현아의원 등 10인)","2018-12-12","2018-12-12","2"
"가정","  건강가정기본법 전부개정법률안(남인순의원 등 10인)","2018-12-07","2018-12-07","2"
"가정","  국가정보화 기본법 일부개정법률안(황주홍의원 등 10인)","2018-12-06","2018-12-06","2"
"가정","  건강가정기본법 일부개정법률안(황주홍의원 등 10인)","2018-12-06","2018-12-06","2"
"가정","  남녀고용평등과 일·가정 양립 지원에 관한 법률 일부개정법률안(주승용의원 등 11인)","2018-12-03","2018-12-03","2"
"가정","  남녀고용평등과 일·가정 양립 지원에 관한 법률 일부개정법률안(김관영의원 등 10인)","2018-11-30","2018-11-30","2"
"가정","  남녀고용평등과 일·가정 양립 지원에 관한 법률 일부개정법률안(윤종필의원 등 10인)","2018-11-28","2018-11-28","2"
"가정","  남녀고용평등과 일·가정 양립 지원에 관한 법률 일부개정법률안(백혜련의원 등 10인)","2018-11-23","2018-11-23","2"
"가정","  남녀고용평등과 일·가정 양립 지원에 관한 법률 일부개정법률안(김동철의원 등 14인)","2018-11-21","2018-11-21","2"
"가정","  가정폭력범죄의 처벌 등에 관한 특례법 일부개정법률안(권은희의원 등 12인)","2018-11-16","2018-11-16","2"
"가정","  국가정보원법 전부개정법률안(이은재의원 등 14인)","2018-11-09","2018-11-09","2"
"가정","  국가정보활동법안(이은재의원 등 13인)","2018-11-09","2018-11-09","2"
"가정","  남녀고용평등과 일·가정 양립 지원에 관한 법률 일부개정법률안(김영진의원 등 10인)","2018-11-06","2018-11-06","2"
"가정","  국가정보원직원법 일부개정법률안(송갑석의원 등 10인)","2018-10-31","2018-10-31","2"
"가정","  남녀고용평등과 일·가정 양립 지원에 관한 법률 일부개정법률안(김종훈의원 등 11인)","2018-09-05","2018-09-05","2"
"가정","  남녀고용평등과 일·가정 양립 지원에 관한 법률 일부개정법률안(정성호의원 등 11인)","2018-09-04","2018-09-04","2"
"가정","  남녀고용평등과 일·가정 양립 지원에 관한 법률 일부개정법률안(이재정의원 등 14인)","2018-09-04","2018-09-04","2"
"가정","  가정폭력범죄의 처벌 등에 관한 특례법 일부개정법률안(금태섭의원 등 11인)","2018-08-28","2018-08-28","2"
"가정","  남녀고용평등과 일·가정 양립 지원에 관한 법률 일부개정법률안(장정숙의원 등 10인)","2018-08-24","2018-08-24","2"
"가정","  남녀고용평등과 일·가정 양립 지원에 관한 법률 일부개정법률안(신보라의원 등 10인)","2018-08-20","2018-08-20","2"
"가정","  남녀고용평등과 일·가정 양립 지원에 관한 법률 일부개정법률안(박주민의원 등 12인)","2018-07-31","2018-07-31","2"
"가정","  남녀고용평등과 일·가정 양립 지원에 관한 법률 일부개정법률안(김상희의원 등 14인)","2018-07-31","2018-07-31","2"
"가정","  남녀고용평등과 일·가정 양립 지원에 관한 법률 일부개정법률안(김상희의원 등 14인)","2018-07-30","2018-07-30","2"
"가정","  건강가정기본법 일부개정법률안(이양수의원 등 10인)","2018-07-26","2018-07-26","2"
"가정","  남녀고용평등과 일·가정 양립 지원에 관한 법률 일부개정법률안(윤종필의원 등 10인)","2018-07-13","2018-07-13","2"
"가정","  남녀고용평등과 일·가정 양립 지원에 관한 법률 일부개정법률안(장정숙의원 등 13인)","2018-07-12","2018-07-12","2"
"가정","  남녀고용평등과 일·가정 양립 지원에 관한 법률 일부개정법률안(임이자의원 등 10인)","2018-07-10","2018-07-10","2"
"가정","  남녀고용평등과 일·가정 양립 지원에 관한 법률 일부개정법률안(김삼화의원 등 12인)","2018-06-29","2018-06-29","2"
"가정","  가정폭력방지 및 피해자보호 등에 관한 법률 일부개정법률안(이명수의원 등 10인)","2018-06-29","2018-06-29","2"
"가정","  남녀고용평등과 일·가정 양립 지원에 관한 법률 일부개정법률안(이찬열의원 등 10인)","2018-06-27","2018-06-27","2"
"가정","  가정폭력범죄의 처벌 등에 관한 특례법 일부개정법률안(백혜련의원 등 10인)","2018-06-04","2018-06-04","2"
"가정","  건강가정기본법 일부개정법률안(박인숙의원 등 10인)","2018-05-25","2018-06-15","1"
"가정","  남녀고용평등과 일·가정 양립 지원에 관한 법률 일부개정법률안(심상정의원 등 12인)","2018-05-24","2018-05-24","2"
"가정","  남녀고용평등과 일·가정 양립 지원에 관한 법률 일부개정법률안(박광온의원 등 11인)","2018-05-21","2018-05-21","2"
"가정","  건강가정기본법 일부개정법률안(송옥주의원 등 10인)","2018-05-18","2018-05-18","2"
"가정","  남녀고용평등과 일·가정 양립 지원에 관한 법률 일부개정법률안(신보라의원 등 13인)","2018-05-11","2018-05-11","2"
"가정","  남녀고용평등과 일·가정 양립 지원에 관한 법률 일부개정법률안(신보라의원 등 12인)","2018-05-10","2018-05-10","2"
"가정","  남녀고용평등과 일·가정 양립 지원에 관한 법률 일부개정법률안(한정애의원 등 12인)","2018-05-09","2018-05-09","2"
"가정","  가정폭력방지 및 피해자보호 등에 관한 법률 일부개정법률안(이동섭의원 등 10인)","2018-05-03","2018-05-03","2"
"가정","  남녀고용평등과 일·가정 양립 지원에 관한 법률 일부개정법률안(임이자의원 등 10인)","2018-05-02","2018-05-02","2"
"가정","  남녀고용평등과 일·가정 양립 지원에 관한 법률 일부개정법률안(이춘석의원 등 12인)","2018-04-30","2018-04-30","2"
"가정","  남녀고용평등과 일·가정 양립 지원에 관한 법률 일부개정법률안(한정애의원 등 10인)","2018-04-27","2018-04-27","2"
"가정","  남녀고용평등과 일·가정 양립 지원에 관한 법률 일부개정법률안(송옥주의원 등 14인)","2018-04-23","2018-04-23","2"
"가정","  남녀고용평등과 일·가정 양립 지원에 관한 법률 일부개정법률안(이정미의원 등 10인)","2018-04-23","2018-04-23","2"
"가정","  가정폭력범죄의 처벌 등에 관한 특례법 일부개정법률안(이찬열의원 등 12인)","2018-04-23","2018-04-23","2"
"가정","  남녀고용평등과 일·가정 양립 지원에 관한 법률 일부개정법률안(송희경의원 등 10인)","2018-04-20","2018-04-20","2"
"가정","  남녀고용평등과 일·가정 양립 지원에 관한 법률 일부개정법률안(강훈식의원 등 10인)","2018-04-18","2018-04-18","2"
"가정","  남녀고용평등과 일·가정 양립 지원에 관한 법률 일부개정법률안(신용현의원 등 12인)","2018-04-17","2018-04-17","2"
"가정","  남녀고용평등과 일·가정 양립 지원에 관한 법률 일부개정법률안(백혜련의원 등 11인)","2018-04-17","2018-04-17","2"
"가정","  국가정보원법 일부개정법률안(장제원의원 등 10인)","2018-04-16","2018-04-16","2"
"가정","  국가정보화 기본법 일부개정법률안(조경태의원 등 10인)","2018-04-12","2018-04-12","2"
"가정","  남녀고용평등과 일·가정 양립 지원에 관한 법률 일부개정법률안(강병원의원 등 11인)","2018-04-11","2018-04-11","2"
"가정","  남녀고용평등과 일·가정 양립 지원에 관한 법률 일부개정법률안(박광온의원 등 10인)","2018-04-02","2018-04-02","2"
"가정","  남녀고용평등과 일·가정 양립 지원에 관한 법률 일부개정법률안(박광온의원 등 10인)","2018-03-30","2018-03-30","2"
"가정","  가정폭력범죄의 처벌 등에 관한 특례법 일부개정법률안(인재근의원 등 15인)","2018-03-26","2018-03-26","2"
"가정","  국가정보원법 전부개정법률안(이완영의원 등 59인)","2018-03-23","2018-03-23","2"
"가정","  가정폭력방지 및 피해자보호 등에 관한 법률 일부개정법률안(김승희의원 등 10인)","2018-03-22","2018-03-22","2"
"가정","  가정폭력방지 및 피해자보호 등에 관한 법률 일부개정법률안(윤후덕의원 등 10인)","2018-03-16","2018-03-16","2"
"가정","  남녀고용평등과 일·가정 양립 지원에 관한 법률 일부개정법률안(권칠승의원 등 10인)","2018-03-12","2018-03-12","2"
"가정","  남녀고용평등과 일·가정 양립 지원에 관한 법률 일부개정법률안(신보라의원 등 11인)","2018-03-12","2018-03-12","2"
"가정","  남녀고용평등과 일·가정 양립 지원에 관한 법률 일부개정법률안(김경진의원 등 10인)","2018-03-07","2018-03-07","2"
