"title","name","start","end","value"
"폭력","  가정폭력범죄의 처벌 등에 관한 특례법 일부개정법률안(송석준의원 등 10인)","2018-12-31","2018-12-31","2"
"폭력","  성폭력방지 및 피해자보호 등에 관한 법률 일부개정법률안(전혜숙의원 등 11인)","2018-12-21","2018-12-21","2"
"폭력","  학교폭력예방 및 대책에 관한 법률 일부개정법률안(김영호의원 등 16인)","2018-12-20","2018-12-20","2"
"폭력","  가정폭력범죄의 처벌 등에 관한 특례법 일부개정법률안(김현아의원 등 10인)","2018-12-12","2018-12-12","2"
"폭력","  성폭력범죄의 처벌 등에 관한 특례법 일부개정법률안(권미혁의원 등 14인)","2018-12-07","2018-12-07","2"
"폭력","  성폭력범죄의 처벌 등에 관한 특례법 일부개정법률안(백혜련의원 등 11인)","2018-11-30","2018-11-30","2"
"폭력","  성폭력방지 및 피해자보호 등에 관한 법률 일부개정법률안(김수민의원 등 11인)","2018-11-29","2018-11-29","2"
"폭력","  성폭력범죄의 처벌 등에 관한 특례법 일부개정법률안(대안)","2018-11-28","2018-11-29","6"
"폭력","  성폭력범죄의 처벌 등에 관한 특례법 일부개정법률안(이만희의원 등 10인)","2018-11-28","2018-11-28","2"
"폭력","  성폭력범죄의 처벌 등에 관한 특례법 일부개정법률안(표창원의원 등 10인)","2018-11-22","2018-11-22","2"
"폭력","  가정폭력범죄의 처벌 등에 관한 특례법 일부개정법률안(권은희의원 등 12인)","2018-11-16","2018-11-16","2"
"폭력","  성폭력범죄의 처벌 등에 관한 특례법 일부개정법률안(김영호의원 등 13인)","2018-11-14","2018-11-14","2"
"폭력","  성폭력방지 및 피해자보호 등에 관한 법률 일부개정법률안(인재근의원 등 11인)","2018-11-02","2018-11-02","2"
"폭력","  성폭력범죄의 처벌 등에 관한 특례법 일부개정법률안(송갑석의원 등 10인)","2018-10-31","2018-10-31","2"
"폭력","  학교폭력예방 및 대책에 관한 법률 일부개정법률안(곽상도의원 등 10인)","2018-10-25","2018-10-25","2"
"폭력","  성폭력범죄의 처벌 등에 관한 특례법 일부개정법률안(백혜련의원 등 10인)","2018-10-19","2018-10-19","2"
"폭력","  성폭력범죄의 처벌 등에 관한 특례법 일부개정법률안(황주홍의원 등 10인)","2018-10-12","2018-11-29","7"
"폭력","  성폭력범죄의 처벌 등에 관한 특례법 일부개정법률안(김기선의원 등 10인)","2018-10-01","2018-10-01","2"
"폭력","  성폭력범죄의 처벌 등에 관한 특례법 일부개정법률안(최도자의원 등 10인)","2018-09-17","2018-09-17","2"
"폭력","  성폭력범죄의 처벌 등에 관한 특례법 일부개정법률안(박재호의원 등 14인)","2018-09-17","2018-09-17","2"
"폭력","  성폭력범죄의 처벌 등에 관한 특례법 일부개정법률안(김수민의원 등 10인)","2018-09-14","2018-09-14","2"
